Home Team,Away Team,Home Win Odds_draftkings,Draw Odds_draftkings,Away Win Odds_draftkings,Home Win Probability_draftkings,Draw Probability_draftkings,Away Win Probability_draftkings,Home Win Odds_pinnacle,Draw Odds_pinnacle,Away Win Odds_pinnacle,Home Win Probability_pinnacle,Draw Probability_pinnacle,Away Win Probability_pinnacle,Home Win Odds_betmgm,Draw Odds_betmgm,Away Win Odds_betmgm,Home Win Probability_betmgm,Draw Probability_betmgm,Away Win Probability_betmgm,Average Home Win Odds,Average Draw Odds,Average Away Win Odds,Average Home Win Probability,Average Draw Probability,Average Away Win Probability
AFC Bournemouth,Brighton & Hove Albion,135,245,180,39.68,27.03,33.3,2.45,3.59,2.89,39.52,26.97,33.51,1.02,1.04,1.03,33.54,33.09,33.38,46.16,83.21,61.31,37.58,29.03,33.4
Arsenal,Nottingham Forest,295,400,800,44.87,35.44,19.69,1.35,5.21,9.39,71.25,18.49,10.26,1.01,1.05,1.09,34.54,33.34,32.12,99.12,135.42,270.16,50.22,29.09,20.69
Aston Villa,Crystal Palace,170,300,425,45.68,30.83,23.49,1.62,4.17,5.6,59.65,23.13,17.22,1.02,1.04,1.05,33.95,33.18,32.87,57.54,101.74,143.88,46.43,29.05,24.53
Aston Villa,Crystal Palace,170,300,425,45.68,30.83,23.49,1.62,4.17,5.6,59.65,23.13,17.22,1.01,1.04,1.06,34.11,33.1,32.79,57.54,101.74,143.89,46.48,29.02,24.5
Fulham,Wolverhampton Wanderers,150,290,390,46.49,29.8,23.72,1.69,4.0,5.14,57.12,24.12,18.77,1.02,1.04,1.05,33.89,33.17,32.95,50.9,98.35,132.06,45.83,29.03,25.15
Ipswich Town,Manchester United,400,310,155,23.92,29.17,46.91,5.21,4.21,1.63,18.39,22.76,58.85,1.05,1.04,1.02,32.96,33.12,33.91,135.42,105.08,52.55,25.09,28.35,46.56
Leicester City,Chelsea,450,330,185,23.76,30.39,45.85,5.98,4.43,1.55,16.1,21.74,62.16,1.05,1.04,1.02,32.9,33.09,34.01,152.34,111.82,62.52,24.25,28.41,47.34
Manchester City,Tottenham Hotspur,195,360,450,45.92,29.45,24.63,1.54,4.63,5.58,62.17,20.68,17.16,1.02,1.05,1.05,34.07,33.07,32.86,65.85,121.89,152.21,47.39,27.73,24.88
Newcastle United,West Ham United,200,330,475,45.06,31.44,23.51,1.52,4.42,6.25,63.01,21.67,15.32,1.02,1.04,1.06,34.06,33.15,32.79,67.51,111.82,160.77,47.38,28.75,23.87
Southampton,Liverpool,750,425,310,21.31,34.5,44.18,9.51,5.37,1.33,10.06,17.82,72.12,1.08,1.06,1.01,32.32,33.16,34.52,253.53,143.81,104.11,21.23,28.49,50.27
